SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95
10,2025-09-25 20:35:45.655,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,6,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
11,2025-09-25 20:35:45.665,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,6,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
12,2025-09-25 20:35:45.677,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,6,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13,2025-09-25 20:35:45.687,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14,2025-09-25 20:35:45.709,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,2025-09-25 20:35:45.719,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
16,2025-09-25 20:35:45.730,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
17,2025-09-25 20:35:45.756,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
18,2025-09-25 20:35:45.767,96,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
19,2025-09-25 20:35:45.769,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,2025-09-25 20:35:45.771,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,2025-09-25 20:35:45.776,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22,2025-09-25 20:35:45.797,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
23,2025-09-25 20:35:45.809,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
24,2025-09-25 20:35:45.819,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
25,2025-09-25 20:35:45.830,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
26,2025-09-25 20:35:45.840,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
27,2025-09-25 20:35:45.852,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
28,2025-09-25 20:35:45.862,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
29,2025-09-25 20:35:45.873,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30,2025-09-25 20:35:45.882,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
31,2025-09-25 20:35:45.891,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
32,2025-09-25 20:35:45.905,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
33,2025-09-25 20:35:45.914,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
34,2025-09-25 20:35:45.926,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
35,2025-09-25 20:35:45.947,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
36,2025-09-25 20:35:45.957,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
37,2025-09-25 20:35:45.968,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
38,2025-09-25 20:35:45.977,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
39,2025-09-25 20:35:45.988,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
40,2025-09-25 20:35:45.998,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41,2025-09-25 20:35:46.010,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,2025-09-25 20:35:46.019,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
43,2025-09-25 20:35:46.032,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44,2025-09-25 20:35:46.041,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
45,2025-09-25 20:35:46.052,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,1,1,6,7,1,0,0,0,1,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
46,2025-09-25 20:35:46.065,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
47,2025-09-25 20:35:46.075,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,2025-09-25 20:35:46.085,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2025-09-25 20:35:46.108,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2025-09-25 20:35:46.118,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,2025-09-25 20:35:46.128,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,2025-09-25 20:35:46.139,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2025-09-25 20:35:46.150,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2025-09-25 20:35:46.159,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2025-09-25 20:35:46.171,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2025-09-25 20:35:46.182,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2025-09-25 20:35:46.192,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2025-09-25 20:35:46.204,96,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5,4,0,0,0,0,0,1,6,7,1,0,0,0,0,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
